date;state;city;confirmed;deaths;order_for_place;is_last;estimated_population;city_ibge_code;confirmed_per_100k_inhabitants;death_rate;region
2020-11-14;BA;Candiba;47;1;164;True;14368.0;2906600.0;327.11581;0.0213;Nordeste
2020-11-14;BA;Cansanção;240;8;214;True;34882.0;2906808.0;688.03394;0.0333;Nordeste
2020-11-14;BA;Canudos;163;5;165;True;16753.0;2906824.0;972.96007;0.0307;Nordeste
2020-11-14;BA;Canápolis;97;1;79;True;9703.0;2906105.0;999.6908199999999;0.0103;Nordeste
2020-11-14;BA;Capela do Alto Alegre;243;4;184;True;11616.0;2906857.0;2091.94215;0.0165;Nordeste
2020-11-14;BA;Capim Grosso;1195;10;213;True;30862.0;2906873.0;3872.0756899999997;0.0084;Nordeste
2020-11-14;BA;Caravelas;444;4;160;True;22093.0;2906907.0;2009.68633;0.009;Nordeste
2020-11-14;BA;Caraíbas;27;0;168;True;8801.0;2906899.0;306.78332;0.0;Nordeste
2020-11-14;BA;Cardeal da Silva;86;1;176;True;9346.0;2907004.0;920.17976;0.0116;Nordeste
2020-11-14;BA;Carinhanha;184;4;158;True;29070.0;2907103.0;632.9549400000001;0.0217;Nordeste
2020-11-14;BA;Casa Nova;712;11;165;True;72545.0;2907202.0;981.45978;0.0154;Nordeste
2020-11-14;BA;Castro Alves;605;14;206;True;26318.0;2907301.0;2298.8069;0.0231;Nordeste
2020-11-14;BA;Catolândia;51;0;151;True;3599.0;2907400.0;1417.0602900000001;0.0;Nordeste
2020-11-14;BA;Catu;1829;28;224;True;54970.0;2907509.0;3327.26942;0.0153;Nordeste
2020-11-14;BA;Caturama;8;0;125;True;9316.0;2907558.0;85.87377;0.0;Nordeste
2020-11-14;BA;Caém;128;2;176;True;9058.0;2905107.0;1413.1154800000002;0.0156;Nordeste
2020-11-14;BA;Central;90;2;164;True;17280.0;2907608.0;520.8333299999999;0.0222;Nordeste
2020-11-14;BA;Chorrochó;39;3;158;True;11200.0;2907707.0;348.21429;0.0769;Nordeste
2020-11-14;BA;Cipó;219;0;170;True;17352.0;2907905.0;1262.10235;0.0;Nordeste
2020-11-14;BA;Coaraci;937;26;224;True;16549.0;2908002.0;5661.973529999999;0.0277;Nordeste
2020-11-14;BA;Cocos;128;3;175;True;18807.0;2908101.0;680.59765;0.0234;Nordeste
2020-11-14;BA;Conceição da Feira;618;8;180;True;22762.0;2908200.0;2715.0514;0.0129;Nordeste
2020-11-14;BA;Conceição do Almeida;638;7;179;True;17165.0;2908309.0;3716.8657200000002;0.011;Nordeste
2020-11-14;BA;Conceição do Coité;3747;8;216;True;67013.0;2908408.0;5591.4524;0.0021;Nordeste
2020-11-14;BA;Conceição do Jacuípe;744;3;233;True;33398.0;2908507.0;2227.6783;0.004;Nordeste
2020-11-14;BA;Conde;387;8;231;True;26035.0;2908606.0;1486.46053;0.0207;Nordeste
2020-11-14;BA;Condeúba;104;4;175;True;17178.0;2908705.0;605.4255400000001;0.0385;Nordeste
2020-11-14;BA;Contendas do Sincorá;35;0;122;True;4045.0;2908804.0;865.26576;0.0;Nordeste
2020-11-14;BA;Coração de Maria;547;4;206;True;22495.0;2908903.0;2431.65148;0.0073;Nordeste
2020-11-14;BA;Cordeiros;64;1;154;True;8642.0;2909000.0;740.56931;0.0156;Nordeste
2020-11-14;BA;Coribe;227;5;138;True;14149.0;2909109.0;1604.35366;0.022;Nordeste
2020-11-14;BA;Coronel João Sá;251;3;167;True;15717.0;2909208.0;1596.9968800000001;0.012;Nordeste
2020-11-14;BA;Correntina;567;2;161;True;32191.0;2909307.0;1761.36187;0.0035;Nordeste
2020-11-14;BA;Cotegipe;100;6;134;True;13769.0;2909406.0;726.2691599999999;0.06;Nordeste
2020-11-14;BA;Cravolândia;17;0;203;True;5351.0;2909505.0;317.69763;0.0;Nordeste
2020-11-14;BA;Cristópolis;199;1;179;True;13947.0;2909703.0;1426.83014;0.005;Nordeste
2020-11-14;BA;Crisópolis;193;1;168;True;21163.0;2909604.0;911.969;0.0052;Nordeste
2020-11-14;BA;Cruz das Almas;870;19;200;True;63591.0;2909802.0;1368.11813;0.0218;Nordeste
2020-11-14;BA;Curaçá;442;4;208;True;34886.0;2909901.0;1266.98389;0.009;Nordeste
2020-11-14;BA;Cândido Sales;851;20;171;True;25053.0;2906709.0;3396.79879;0.0235;Nordeste
2020-11-14;BA;Cícero Dantas;726;11;166;True;32576.0;2907806.0;2228.63458;0.0152;Nordeste
2020-11-14;BA;Dias d'Ávila;1737;38;225;True;82432.0;2910057.0;2107.19138;0.0219;Nordeste
2020-11-14;BA;Dom Basílio;192;0;184;True;12240.0;2910107.0;1568.62745;0.0;Nordeste
2020-11-14;BA;Dom Macedo Costa;154;2;155;True;4065.0;2910206.0;3788.4378799999995;0.013;Nordeste
2020-11-14;BA;Dário Meira;565;11;196;True;10525.0;2910008.0;5368.171020000001;0.0195;Nordeste
2020-11-14;BA;Elísio Medrado;162;3;138;True;8126.0;2910305.0;1993.60079;0.0185;Nordeste
2020-11-14;BA;Encruzilhada;277;7;182;True;16446.0;2910404.0;1684.30013;0.0253;Nordeste
2020-11-14;BA;Entre Rios;472;5;182;True;41901.0;2910503.0;1126.46476;0.0106;Nordeste
2020-11-14;BA;Esplanada;393;8;171;True;37578.0;2910602.0;1045.8246800000002;0.0204;Nordeste
2020-11-14;BA;Euclides da Cunha;279;7;216;True;60858.0;2910701.0;458.44425;0.0251;Nordeste
2020-11-14;BA;Eunápolis;3481;73;209;True;114396.0;2910727.0;3042.93856;0.021;Nordeste
2020-11-14;BA;Feira da Mata;36;1;137;True;5661.0;2910776.0;635.93005;0.0278;Nordeste
2020-11-14;BA;Feira de Santana;17074;280;247;True;619609.0;2910800.0;2755.60878;0.0164;Nordeste
2020-11-14;BA;Filadélfia;582;11;163;True;16345.0;2910859.0;3560.7219299999997;0.0189;Nordeste
2020-11-14;BA;Firmino Alves;112;3;160;True;5629.0;2910909.0;1989.6962199999998;0.0268;Nordeste
2020-11-14;BA;Floresta Azul;392;12;210;True;10575.0;2911006.0;3706.85579;0.0306;Nordeste
2020-11-14;BA;Formosa do Rio Preto;332;6;159;True;25857.0;2911105.0;1283.98499;0.0181;Nordeste
2020-11-14;BA;Fátima;509;5;167;True;17845.0;2910750.0;2852.33959;0.0098;Nordeste
2020-11-14;BA;Gandu;1664;25;220;True;32596.0;2911204.0;5104.92085;0.015;Nordeste
2020-11-14;BA;Gavião;50;0;101;True;4440.0;2911253.0;1126.12613;0.0;Nordeste
2020-11-14;BA;Gentio do Ouro;187;0;154;True;11259.0;2911303.0;1660.8935099999999;0.0;Nordeste
2020-11-14;BA;Glória;249;7;170;True;15234.0;2911402.0;1634.5017699999999;0.0281;Nordeste
2020-11-14;BA;Gongogi;189;4;216;True;6985.0;2911501.0;2705.79814;0.0212;Nordeste
2020-11-14;BA;Governador Mangabeira;171;1;192;True;20762.0;2911600.0;823.62008;0.0058;Nordeste
2020-11-14;BA;Guajeru;14;1;155;True;6646.0;2911659.0;210.65302000000003;0.0714;Nordeste
2020-11-14;BA;Guanambi;1165;7;206;True;84928.0;2911709.0;1371.75019;0.006;Nordeste
2020-11-14;BA;Guaratinga;581;11;194;True;20700.0;2911808.0;2806.76329;0.0189;Nordeste
2020-11-14;BA;Heliópolis;67;2;137;True;12987.0;2911857.0;515.90052;0.0299;Nordeste
2020-11-14;BA;Iaçu;296;9;179;True;24121.0;2911907.0;1227.14647;0.0304;Nordeste
2020-11-14;BA;Ibiassucê;37;0;137;True;9031.0;2912004.0;409.69992;0.0;Nordeste
2020-11-14;BA;Ibicaraí;938;31;202;True;21378.0;2912103.0;4387.688279999999;0.033;Nordeste
2020-11-14;BA;Ibicoara;77;1;139;True;19786.0;2912202.0;389.16406;0.013;Nordeste
2020-11-14;BA;Ibicuí;748;6;159;True;16230.0;2912301.0;4608.749229999999;0.008;Nordeste
2020-11-14;BA;Ibipeba;226;1;164;True;18319.0;2912400.0;1233.6918;0.0044;Nordeste
2020-11-14;BA;Ibipitanga;237;2;159;True;14947.0;2912509.0;1585.60246;0.0084;Nordeste
2020-11-14;BA;Ibiquera;7;0;137;True;4046.0;2912608.0;173.01038;0.0;Nordeste
2020-11-14;BA;Ibirapitanga;710;12;192;True;23404.0;2912707.0;3033.66946;0.0169;Nordeste
2020-11-14;BA;Ibirapuã;221;3;171;True;8690.0;2912806.0;2543.15305;0.0136;Nordeste
2020-11-14;BA;Ibirataia;1378;24;219;True;14882.0;2912905.0;9259.50813;0.0174;Nordeste
2020-11-14;BA;Ibitiara;22;2;179;True;16403.0;2913002.0;134.12181;0.0909;Nordeste
2020-11-14;BA;Ibititá;454;7;118;True;17080.0;2913101.0;2658.07963;0.0154;Nordeste
2020-11-14;BA;Ibotirama;308;12;218;True;27003.0;2913200.0;1140.61401;0.039;Nordeste
2020-11-14;BA;Ichu;62;1;137;True;6220.0;2913309.0;996.7845699999999;0.0161;Nordeste
2020-11-14;BA;Igaporã;35;2;134;True;15650.0;2913408.0;223.64217000000002;0.0571;Nordeste
2020-11-14;BA;Igrapiúna;276;9;179;True;13091.0;2913457.0;2108.31869;0.0326;Nordeste
2020-11-14;BA;Iguaí;558;18;166;True;26963.0;2913507.0;2069.50265;0.0323;Nordeste
2020-11-14;BA;Ilhéus;7310;254;230;True;159923.0;2913606.0;4570.94977;0.0347;Nordeste
2020-11-14;BA;Inhambupe;567;11;179;True;40333.0;2913705.0;1405.79674;0.0194;Nordeste
2020-11-14;BA;Ipecaetá;121;4;179;True;14354.0;2913804.0;842.9706;0.0331;Nordeste
2020-11-14;BA;Ipiaú;2119;39;228;True;45922.0;2913903.0;4614.3460700000005;0.0184;Nordeste
2020-11-14;BA;Ipirá;515;10;204;True;59435.0;2914000.0;866.49281;0.0194;Nordeste
2020-11-14;BA;Ipupiara;57;2;111;True;9911.0;2914109.0;575.11856;0.0351;Nordeste
2020-11-14;BA;Irajuba;46;1;129;True;7279.0;2914208.0;631.9549400000001;0.0217;Nordeste
2020-11-14;BA;Iramaia;22;0;158;True;8197.0;2914307.0;268.39087;0.0;Nordeste
2020-11-14;BA;Iraquara;256;0;141;True;25478.0;2914406.0;1004.78844;0.0;Nordeste
2020-11-14;BA;Irará;443;4;183;True;29173.0;2914505.0;1518.52741;0.009;Nordeste
2020-11-14;BA;Irecê;2833;35;209;True;73524.0;2914604.0;3853.1635899999997;0.0124;Nordeste
2020-11-14;BA;Itabela;949;19;204;True;30747.0;2914653.0;3086.47998;0.02;Nordeste
2020-11-14;BA;Itaberaba;2435;44;204;True;64646.0;2914703.0;3766.6677;0.0181;Nordeste
2020-11-14;BA;Itabuna;14324;347;236;True;213685.0;2914802.0;6703.32499;0.0242;Nordeste
2020-11-14;BA;Itacaré;397;10;199;True;28684.0;2914901.0;1384.04686;0.0252;Nordeste
2020-11-14;BA;Itaeté;110;3;172;True;16110.0;2915007.0;682.80571;0.0273;Nordeste
2020-11-14;BA;Itagi;420;11;216;True;12242.0;2915106.0;3430.81196;0.0262;Nordeste
